nombre,posicion,equipo,ecr,sd,mejor,peor,fecha
Jarquez Hunter,RB,MIA,299.7,22.2,238.0,368.0,2026-08-28
Elijah Arroyo,TE,SEA,300.8,33.0,209.0,367.0,2026-08-28
Jerome Ford,RB,WAS,301.2,22.8,239.0,365.0,2026-08-28
Isaiah Williams,WR,NYJ,301.6,27.7,264.0,346.0,2026-08-28
Tahj Brooks,RB,CIN,302.0,19.8,231.0,332.0,2026-08-28
Jason Sanders,K,NYJ,302.0,74.0,200.0,373.0,2026-08-28
Joshua Palmer,WR,BUF,302.5,35.9,239.0,376.0,2026-08-28
Trevor Etienne,RB,CAR,302.8,19.4,243.0,337.0,2026-08-28
Isaac Guerendo,RB,SF,303.3,26.0,233.0,379.0,2026-08-28
Max Bredeson,RB,MIN,305.5,4.5,301.0,310.0,2026-08-28
Oscar Delp,TE,NO,305.8,33.0,254.0,381.0,2026-08-28
Eli Heidenreich,RB,PIT,307.3,24.4,263.0,354.0,2026-08-28
Joe Mixon,RB,FA,307.4,27.0,251.0,354.0,2026-08-28
Audric Estime,RB,NO,307.5,21.3,251.0,364.0,2026-08-28
KaVontae Turpin,WR,DAL,308.1,50.6,223.0,376.0,2026-08-28
Konata Mumpfield,WR,LAR,309.3,30.3,258.0,377.0,2026-08-28
Will Shipley,RB,PHI,310.4,18.6,244.0,360.0,2026-08-28
Hunter Luepke,RB,DAL,312.6,14.3,292.0,337.0,2026-08-28
Tez Johnson,WR,TB,312.8,32.9,223.0,386.0,2026-08-28
Olamide Zaccheaus,WR,ATL,313.7,28.6,258.0,371.0,2026-08-28
Erick All Jr.,TE,CIN,314.2,39.5,209.0,409.0,2026-08-28
Kareem Hunt,RB,FA,314.3,21.4,262.0,378.0,2026-08-28
Malik Benson,WR,LV,314.9,47.5,239.0,397.0,2026-08-28
Barion Brown,WR,NO,316.0,59.1,241.0,396.0,2026-08-28
Tai Felton,WR,MIN,316.0,29.2,277.0,350.0,2026-08-28
Jalen Royals,WR,KC,316.3,28.6,265.0,376.0,2026-08-28
Tyler Lockett,WR,LV,316.5,11.5,305.0,328.0,2026-08-28
Brenen Thompson,WR,LAC,316.7,36.1,258.0,396.0,2026-08-28
Raheim Sanders,RB,CLE,317.0,21.6,266.0,363.0,2026-08-28
Sione Vaki,RB,DET,317.0,20.4,275.0,343.0,2026-08-28
Adam Prentice,RB,DEN,317.0,0.0,317.0,317.0,2026-08-28
Jordan Watkins,WR,SF,318.0,3.0,315.0,321.0,2026-08-28
Colbie Young,WR,CIN,318.1,38.6,240.0,380.0,2026-08-28
Treylon Burks,WR,WAS,318.6,44.1,222.0,408.0,2026-08-28
Carson Beck,QB,ARI,318.9,23.3,244.0,359.0,2026-08-28
Luke McCaffrey,WR,WAS,319.2,31.6,257.0,402.0,2026-08-28
Cedric Tillman,WR,FA,319.5,31.3,273.0,391.0,2026-08-28
Roschon Johnson,RB,CHI,319.9,31.7,275.0,387.0,2026-08-28
Van Jefferson,WR,WAS,320.5,38.3,264.0,371.0,2026-08-28
Cole Kmet,TE,CHI,320.6,26.8,259.0,381.0,2026-08-28
Demarcus Robinson,WR,SF,321.2,48.9,241.0,388.0,2026-08-28
Ashton Dulin,WR,IND,321.4,19.4,298.0,370.0,2026-08-28
Dont'e Thornton Jr.,WR,LV,322.4,33.1,272.0,368.0,2026-08-28
Kalif Raymond,WR,CHI,322.8,40.5,245.0,377.0,2026-08-28
Eli Raridon,TE,NE,323.2,37.7,209.0,411.0,2026-08-28
John Metchie III,WR,CAR,323.3,38.3,272.0,375.0,2026-08-28
Tyler Higbee,TE,LAR,323.7,26.4,268.0,379.0,2026-08-28
J.J. McCarthy,QB,MIN,326.1,17.8,281.0,374.0,2026-08-28
Max Klare,TE,LAR,326.8,25.3,274.0,380.0,2026-08-28
Odell Beckham Jr.,WR,NYG,326.8,34.1,262.0,361.0,2026-08-28
Noah Gray,TE,KC,327.2,22.4,290.0,367.0,2026-08-28
Phil Mafah,RB,DAL,327.2,28.4,283.0,383.0,2026-08-28
Devontez Walker,WR,BAL,328.0,37.0,258.0,380.0,2026-08-28
Jawhar Jordan,RB,HOU,328.1,28.4,283.0,407.0,2026-08-28
Patrick Ricard,RB,NYG,328.3,48.0,278.0,393.0,2026-08-28
Kevin Coleman Jr.,WR,MIA,329.5,39.4,241.0,374.0,2026-08-28
Ja'Tavion Sanders,TE,CAR,329.8,32.6,256.0,399.0,2026-08-28
Dawson Knox,TE,BUF,330.0,30.4,268.0,414.0,2026-08-28
British Brooks,RB,HOU,330.0,8.0,322.0,338.0,2026-08-28
Michael Carter,RB,TEN,330.1,28.7,282.0,387.0,2026-08-28
J'Mari Taylor,RB,JAC,330.4,19.2,307.0,364.0,2026-08-28
Lew Nichols III,RB,PIT,331.5,5.5,326.0,337.0,2026-08-28
CJ Daniels,WR,LAR,331.6,31.1,277.0,384.0,2026-08-28
Tutu Atwell,WR,LAR,332.0,39.0,247.0,380.0,2026-08-28
Jacob Saylors,RB,DET,333.0,4.0,329.0,337.0,2026-08-28
Mac Jones,QB,SF,333.5,18.0,294.0,378.0,2026-08-28
Drew Allar,QB,PIT,334.0,8.0,326.0,342.0,2026-08-28
Zavion Thomas,WR,CHI,335.0,29.2,294.0,387.0,2026-08-28
Reggie Gilliam,RB,NE,335.0,32.4,304.0,389.0,2026-08-28
DeAndre Hopkins,WR,BAL,336.0,39.6,287.0,384.0,2026-08-28
Jonnu Smith,TE,GB,336.2,42.7,275.0,387.0,2026-08-28
Tyler Goodson,RB,ATL,336.6,22.2,313.0,373.0,2026-08-28
Robert Henry Jr.,RB,WAS,337.0,48.0,270.0,384.0,2026-08-28
Rasheen Ali,RB,BAL,337.3,24.8,310.0,373.0,2026-08-28
Savion Williams,WR,GB,337.5,24.9,291.0,374.0,2026-08-28
Ronnie Rivers,RB,LAR,338.2,28.5,292.0,365.0,2026-08-28
Ty Chandler,RB,NO,338.3,47.5,278.0,394.0,2026-08-28
Dylan Laube,RB,LV,338.6,18.6,313.0,365.0,2026-08-28
Dyami Brown,WR,WAS,338.7,32.6,287.0,378.0,2026-08-28
Justin Joly,TE,DEN,338.8,28.0,261.0,378.0,2026-08-28
Jam Miller,RB,NE,339.0,24.1,297.0,371.0,2026-08-28
Chris Blair,WR,ATL,339.0,7.0,332.0,346.0,2026-08-28
Mitch Tinsley,WR,CIN,340.0,42.1,277.0,387.0,2026-08-28
Zavier Scott,RB,MIN,340.2,19.5,317.0,365.0,2026-08-28
Nick Westbrook-Ikhine,WR,IND,341.3,48.5,218.0,412.0,2026-08-28
John Bates,TE,WAS,341.7,36.1,274.0,395.0,2026-08-28
Khalil Herbert,RB,SF,341.8,64.6,231.0,390.0,2026-08-28
Deion Burks,WR,IND,342.3,20.2,319.0,370.0,2026-08-28
Moliki Matavao,TE,NO,343.0,52.0,291.0,395.0,2026-08-28
Jake Browning,QB,TB,343.0,35.0,308.0,378.0,2026-08-28
Ty Simpson,QB,LAR,343.5,21.5,294.0,382.0,2026-08-28
Antonio Gibson,RB,FA,343.7,15.5,325.0,363.0,2026-08-28
Jahdae Walker,WR,CHI,343.8,24.8,307.0,377.0,2026-08-28
Joe Flacco,QB,CIN,343.9,23.5,296.0,381.0,2026-08-28
Michael Woods II,WR,DEN,344.5,51.5,293.0,396.0,2026-08-28
Marlin Klein,TE,HOU,344.8,12.0,323.0,357.0,2026-08-28
Jordan Whittington,WR,LAR,345.0,27.5,307.0,385.0,2026-08-28
Terrell Jennings,RB,FA,345.0,20.6,318.0,375.0,2026-08-28
Elijah Moore,WR,PHI,345.0,39.1,305.0,388.0,2026-08-28
Justin Fields,QB,KC,345.5,22.1,295.0,389.0,2026-08-28
Xavier Restrepo,WR,TEN,346.0,33.0,313.0,379.0,2026-08-28
Noah Fant,TE,NO,346.2,21.8,290.0,383.0,2026-08-28
Anthony Richardson Sr.,QB,IND,346.9,25.1,295.0,392.0,2026-08-28
Dameon Pierce,RB,PHI,347.5,16.2,320.0,365.0,2026-08-28
Jacob Cowing,WR,SF,347.7,24.3,316.0,375.0,2026-08-28
Jeremy McNichols,RB,WAS,347.8,22.5,322.0,385.0,2026-08-28
Cade Klubnik,QB,NYJ,347.8,22.5,325.0,398.0,2026-08-28
Tommy Tremble,TE,CAR,347.9,27.1,295.0,401.0,2026-08-28
Will Kacmarek,TE,MIA,348.0,23.8,320.0,384.0,2026-08-28
Jaylin Lane,WR,WAS,348.6,28.8,298.0,410.0,2026-08-28
Matt Hibner,TE,BAL,348.8,26.0,298.0,370.0,2026-08-28
Jameis Winston,QB,NYG,350.7,19.2,320.0,388.0,2026-08-28
Ben Sinnott,TE,WAS,352.1,15.9,330.0,383.0,2026-08-28
Marcus Mariota,QB,WAS,352.2,27.7,297.0,398.0,2026-08-28
Dominic Zvada,K,NYG,352.5,19.5,333.0,372.0,2026-08-28
Quinn Ewers,QB,MIA,353.0,9.3,345.0,366.0,2026-08-28
Cade Stover,TE,HOU,353.0,4.3,347.0,357.0,2026-08-28
Luke Musgrave,TE,GB,353.9,18.8,300.0,378.0,2026-08-28
Austin Ekeler,RB,FA,354.2,21.5,313.0,385.0,2026-08-28
Elijah Higgins,TE,ARI,354.3,10.3,337.0,370.0,2026-08-28
Joe Milton III,QB,DAL,355.2,23.6,322.0,398.0,2026-08-28
Austin Hooper,TE,ATL,355.4,22.1,309.0,392.0,2026-08-28
Kene Nwangwu,RB,NYJ,356.5,13.5,343.0,370.0,2026-08-28
Greg Dortch,WR,DET,356.8,28.3,302.0,397.0,2026-08-28
Gardner Minshew II,QB,ARI,357.5,22.5,335.0,380.0,2026-08-28
Reggie Virgil,WR,ARI,357.5,13.5,344.0,371.0,2026-08-28
Marquez Valdes-Scantling,WR,DAL,357.7,24.7,323.0,379.0,2026-08-28
Noah Whittington,RB,HOU,359.5,21.5,338.0,381.0,2026-08-28
Tyrod Taylor,QB,GB,360.3,23.5,328.0,383.0,2026-08-28
Cash Jones,RB,ATL,360.5,22.5,338.0,383.0,2026-08-28
Xavier Smith,WR,LAR,361.0,42.4,289.0,397.0,2026-08-28
Tim Patrick,WR,NYJ,361.0,30.1,323.0,397.0,2026-08-28
Damien Martinez,RB,GB,361.3,20.4,332.0,394.0,2026-08-28
Josh Oliver,TE,MIN,361.4,7.7,350.0,372.0,2026-08-28
Daniel Bellinger,TE,TEN,361.4,22.2,312.0,392.0,2026-08-28
Michael Burton,RB,CLE,362.0,36.0,326.0,398.0,2026-08-28
Jalen Reagor,WR,MIA,363.3,30.1,322.0,393.0,2026-08-28
Durham Smythe,TE,BAL,363.5,21.5,342.0,385.0,2026-08-28
Drew Sample,TE,CIN,364.3,8.2,355.0,375.0,2026-08-28
Jimmy Horn Jr.,WR,CAR,365.2,16.9,346.0,384.0,2026-08-28
Mitchell Evans,TE,CAR,365.5,23.4,305.0,395.0,2026-08-28
Tyson Bagent,QB,CHI,366.0,19.0,347.0,385.0,2026-08-28
Zach Ertz,TE,FA,367.8,11.9,349.0,384.0,2026-08-28
KeAndre Lambert-Smith,WR,LAC,368.0,17.0,351.0,385.0,2026-08-28
Tanner Koziol,TE,JAC,368.2,7.8,354.0,377.0,2026-08-28
Riley Leonard,QB,IND,371.2,11.0,351.0,381.0,2026-08-28
Jackson Hawes,TE,BUF,372.8,11.5,357.0,390.0,2026-08-28
Luke Schoonmaker,TE,DAL,375.5,3.5,372.0,379.0,2026-08-28
Nate Boerkircher,TE,JAC,377.0,13.6,362.0,395.0,2026-08-28
Frank Gore Jr.,RB,BUF,377.5,11.5,366.0,389.0,2026-08-28
Josh Cameron,WR,JAC,377.5,4.5,373.0,382.0,2026-08-28
Jeremy Ruckert,TE,NYJ,377.7,5.4,370.0,382.0,2026-08-28
Jaret Patterson,RB,LAC,378.5,14.5,364.0,393.0,2026-08-28
Trey Lance,QB,LAC,378.5,10.5,368.0,389.0,2026-08-28
Tanner Hudson,TE,CIN,380.7,4.5,375.0,386.0,2026-08-28
Velus Jones Jr.,WR,SEA,381.0,3.0,378.0,384.0,2026-08-28
Adam Trautman,TE,DEN,383.0,17.8,361.0,413.0,2026-08-28
Jaydn Ott,RB,KC,383.5,5.5,378.0,389.0,2026-08-28
Lil'Jordan Humphrey,WR,DEN,389.5,16.5,373.0,406.0,2026-08-28
