nombre,nombre_corto,equipo,posicion,precio_millones,puntos_totales,forma,porcentaje_seleccionado,lesionado_o_duda
Freddie Woodman,Woodman,Liverpool,GK,4.0,6,0.0,1.1,False
Armin Pecsi,Pecsi,Liverpool,GK,4.0,0,0.0,0.1,True
Vitezslav Jaros,Jaros,Liverpool,GK,4.0,0,0.0,0.0,True
Harvey Davies,Davies,Liverpool,GK,4.0,0,0.0,0.1,False
Wellity Lucky,Lucky,Liverpool,DEF,4.0,0,0.0,0.1,False
Giovanni Leoni,Leoni,Liverpool,DEF,4.0,0,0.0,0.1,True
Calvin Ramsay,Ramsay,Liverpool,DEF,4.0,0,0.0,0.2,False
Tom Heaton,Heaton,Man Utd,GK,4.0,0,0.0,0.2,True
Harry Amass,Amass,Man Utd,DEF,4.0,0,0.0,0.2,False
Tyler Fredricson,Fredricson,Man Utd,DEF,4.0,1,0.0,0.1,True
Alex Murphy,A.Murphy,Newcastle,DEF,4.0,2,0.0,0.3,True
Omar Richards,O.Richards,Nott'm Forest,DEF,4.0,0,0.0,0.2,False
Zach Abbott,Abbott,Nott'm Forest,DEF,4.0,3,0.0,0.2,False
Tyler Bindon,Bindon,Nott'm Forest,DEF,4.0,0,0.0,0.2,False
Brandon Austin,Austin,Spurs,GK,4.0,0,0.0,0.8,False
Martin Dubravka,Dubravka,Spurs,GK,4.0,96,0.0,21.2,False
Ben Davies,Davies,Spurs,DEF,4.0,10,0.0,1.0,False
Jun'ai Byfield,Byfield,Spurs,DEF,4.0,1,0.0,0.1,False
James Rowswell,Rowswell,Spurs,DEF,4.0,1,0.0,0.1,False
João Victor de Souza Menezes,Souza,Spurs,DEF,4.0,3,0.0,0.3,False
Anthony Patterson,Patterson,Sunderland,GK,4.0,0,0.0,0.4,True
Leo Fuhr Hjelde,Hjelde,Sunderland,DEF,4.0,0,0.0,0.1,True
Luke O'Nien,O'Nien,Sunderland,DEF,4.0,26,0.0,3.3,False
Arthur Masuaku,Masuaku,Sunderland,DEF,4.0,1,0.0,0.5,True
